Model	IEAP	IEAC	PEP
Hf	1409.117614930407626	4184.576736213885852	53.379214718431967
Mf	1020.734824523860993	2025.910786820982139	11.104640352507619
Hs1	918.714845109368298	1504.397276930366161	0.000000000000000
Hs2	931.170036192958378	1492.479357935871576	1.355718931711337
Ms	930.756700364161361	1480.280847552777232	1.310728276450094
