#time	h1	h2	h3
0.0	-0.0	-0.0	-0.0
0.02004008016032064	-0.0	-0.0	-0.0
0.04008016032064128	-0.0	-0.0	-0.0
0.06012024048096192	-0.0	-0.0	-0.0
0.08016032064128256	-0.0	-0.0	-0.0
0.1002004008016032	-0.0	-0.0	-0.0
0.12024048096192384	-0.0	-0.0	-0.0
0.1402805611222445	-0.0	-0.0	-0.0
0.16032064128256512	-0.0	-0.0	-0.0
0.18036072144288576	-0.0	-0.0	-0.0
0.2004008016032064	-0.0	-0.0	-0.0
0.22044088176352705	-0.0	-0.0	-0.0
0.24048096192384769	-0.0	-0.0	-0.0
0.2605210420841683	-0.0	-0.0	-0.0
0.280561122244489	-0.0	-0.0	-0.0
0.3006012024048096	-0.0	-0.0	-0.0
0.32064128256513025	-0.0	-0.0	-0.0
0.3406813627254509	-0.0	-0.0	-0.0
0.3607214428857715	-0.0	-0.0	-0.0
0.3807615230460922	-0.0	-0.0	-0.0
0.4008016032064128	-0.0	-0.0	-0.0
0.42084168336673344	-0.0	-0.0	-0.0
0.4408817635270541	-0.0	-0.0	-0.0
0.4609218436873747	-0.0	-0.0	-0.0
0.48096192384769537	-0.0	-0.0	-0.0
0.501002004008016	-0.0	-0.0	-0.0
0.5210420841683366	-0.0	-0.0	-0.0
0.5410821643286573	-0.0	-0.0	-0.0
0.561122244488978	-0.0	-0.0	-0.0
0.5811623246492986	-0.0	-0.0	-0.0
0.6012024048096192	-0.0	-0.0	-0.0
0.6212424849699398	-0.0	-0.0	-0.0
0.6412825651302605	-0.0	-0.0	-0.0
0.6613226452905812	-0.0	-0.0	-0.0
0.6813627254509018	-0.0	-0.0	-0.0
0.7014028056112224	-0.0	-0.0	-0.0
0.721442885771543	-0.0	-0.0	-0.0
0.7414829659318637	-0.0	-0.0	-0.0
0.7615230460921844	-0.0	-0.0	-0.0
0.781563126252505	-0.0	-0.0	-0.0
0.8016032064128256	-0.0	-0.0	-0.0
0.8216432865731462	-0.0	-0.0	-0.0
0.8416833667334669	-0.0	-0.0	-0.0
0.8617234468937875	-0.0	-0.0	-0.0
0.8817635270541082	-0.0	-0.0	-0.0
0.9018036072144289	-0.0	-0.0	-0.0
0.9218436873747494	-0.0	-0.0	-0.0
0.9418837675350701	-0.0	-0.0	-0.0
0.9619238476953907	-0.0	-0.0	-0.0
0.9819639278557114	-0.0	-0.0	-0.0
1.002004008016032	2.045378421323311e-05	5.120276312645939e-06	8.112644345458707e-09
1.0220440881763526	0.0002233156239267194	5.66475996375603e-05	9.744605004611423e-07
1.0420841683366733	0.00042318066141571224	0.00010875105390990295	3.5257442731557604e-06
1.062124248496994	0.0006201195902691008	0.0001614110742648822	7.6275629017541435e-06
1.0821643286573146	0.0008142013183999869	0.0002146086067466993	1.3246375918531082e-05
1.1022044088176353	0.0010054930134807934	0.0002683250952651408	2.0349481573290473e-05
1.122244488977956	0.0011940601472217576	0.00032254246888442547	2.8904995515034807e-05
1.1422845691382766	0.0013799665385217182	0.0003772431294358448	3.888183001629149e-05
1.1623246492985972	0.0015632743955202155	0.000432409939446009	5.024967372664237e-05
1.1823647294589177	0.001744044356578885	0.00048802621037240425	6.297897194124062e-05
1.2024048096192383	0.0019223355302191998	0.0005440756911387897	7.704090737234005e-05
1.222444889779559	0.002098205534043395	0.0006005425569625332	9.240738140982985e-05
1.2424849699398797	0.0022717105326643	0.0006574113984667189	0.0001090509958591625
1.2625250501002003	0.002442905274669342	0.0007146672110692589	0.000126945035144201
1.282565130260521	0.002611843128643468	0.0007722953846426996	0.0001460634489631465
1.3026052104208417	0.0027785761182746137	0.0008302816934371109	0.00016638083538594346
1.3226452905811623	0.002943154956565475	0.0008886122862599128	0.00018787242438222127
1.342685370741483	0.003105629079174053	0.0009472736769056731	0.000210514061768487
1.3627254509018036	0.0032660466769053285	0.0010062527348297999	0.00023428219356382826
1.3827655310621243	0.003424454727375588	0.0010655366760598417	0.0002591538507443734
1.4028056112224447	0.003580899025870435	0.0011251130543381718	0.0002851066343854416
1.4228456913827654	0.003735424215417207	0.0011849697524904791	0.0003121187011820117
1.442885771543086	0.0038880738160916206	0.0012450949740140805	0.00034016874933817377
1.4629258517034067	0.004038890253578109	0.001305477234880429	0.0003692360048154589
1.4829659318637274	0.004187914887003174	0.001366105355546662	0.00039930020793111867
1.503006012024048	0.0043351880360597925	0.0014269684531704597	0.0004303416002983361
1.5230460921843687	0.004480749007441339	0.0014880559340232921	0.000462340912097925
1.5430861723446894	0.004624636120602442	0.001549357486097082	0.0004952793496748243
1.56312625250501	0.004766886732863827	0.0016108630718989763	0.0005291385834499592
1.5831663326653307	0.004907537263878064	0.0016725629214299402	0.0005639007361400786
1.6032064128256511	0.005046623219472268	0.001734447525342025	0.0005995483712771375
1.6232464929859718	0.005184179214883803	0.0017965076282700726	0.000636064482020378
1.6432865731462925	0.005320238997404342	0.0018587342223333322	0.0006734324802528884
1.6633266533066131	0.00545483546844739	0.0019211185408025669	0.0007116361859558721
1.6833667334669338	0.00558800070505388	0.0019836520519285463	0.0007506598168533069
1.7034068136272544	0.005719765980850316	0.0020463264529277936	0.0007904879783203799
1.723446893787575	0.005850161786473194	0.0021091336641215186	0.0008311056535486674
1.7434869739478958	0.0059792178494735134	0.002172065823223983	0.0008724981939617284
1.7635270541082164	0.00610696315371432	0.0022351152797762306	0.0009146513098745972
1.783567134268537	0.006233425958274575	0.0022982745897218043	0.0009575510613911243
1.8036072144288577	0.006358633815871587	0.00236153651012057	0.0010011838495330699
